ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
-9.014,0.454,4.277,-9.011,0.335,3.855,-0.061,0.121,0.447,-33.2,19.4,14.8,5.305,82.4,-0.6,-50,80.7,-2,66.8,70.83
-9.052,0.48,3.466,-9.179,0.319,3.438,0.067,0.163,0.05,-33.4,26.4,12.3,4.463,81.1,-3.7,-46.6,93.6,-1.9,69.5,70.83
-9.214,0.406,3.235,-9.277,0.32,3.162,0.004,0.088,0.093,-32.5,27.7,12.4,4.463,79.9,-5.6,-43.6,100.9,-1.9,71.2,72.13
-9.314,0.416,2.852,-9.462,0.337,2.554,0.086,0.081,0.314,-26.2,30.2,7.5,4.547,77.6,-8.7,-38.6,109.3,-2,74.9,72.13
-9.314,0.404,2.197,-9.554,0.332,2.186,0.175,0.074,0.026,-29.1,38.3,6.4,3.958,76.5,-9.9,-36.4,111.7,-1.9,77.1,72.13
-9.23,0.44,-0.383,-9.737,0.276,1.134,0.428,0.165,-1.508,-29.9,49,0.3,3.2,73.6,-12.4,-29.5,115.9,-1.6,83.4,72.13
-9.73,-0.001,0.783,-9.778,0.225,0.712,-0.031,-0.223,0.077,-21.6,26.5,-2.7,3.2,69.9,-14.3,-22.1,126.3,-1.3,85.8,71.5
-9.678,0.18,1.507,-9.795,0.212,0.428,0.037,-0.03,1.082,-22,13.8,1.6,3.116,61.8,-17.5,-6.2,168.1,-1.2,87.5,71.5
-9.725,0.316,0.09,-9.803,0.21,0.172,-0.003,0.107,-0.081,-29.9,31.7,0,3.032,57.1,-19.2,2.4,189.6,-1.2,89,71.5
-9.492,0.144,-0.624,-9.792,0.138,-0.511,0.215,0.008,-0.117,-10.2,17.3,-4.1,2.863,48,-22,18.3,216,-0.8,93,73.45
-9.735,0.063,-0.262,-9.789,0.11,-0.579,-0.031,-0.045,0.312,-1.4,-4.3,-1.3,2.863,43.9,-23.1,25.6,226.1,-0.6,93.4,73.45
-9.768,0.073,-0.393,-9.795,0.111,-0.46,-0.059,-0.037,0.063,0,0.4,0.3,2.863,40.6,-24.2,31.5,230.8,-0.6,92.9,73.45
-9.73,0.106,-0.267,-9.795,0.113,-0.457,-0.02,-0.006,0.187,-0.1,-0.3,0,2.947,37.7,-25,35.8,234.3,-0.7,92.7,56.56
-9.599,-0.027,-0.003,-9.802,0.08,-0.289,0.096,-0.106,0.284,-0.4,-5.3,-0.2,2.947,37.3,-25.5,36.4,234.5,-0.6,92.2,56.56
