ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.082,-0.132,9.781,0.18,-0.145,9.804,-0.097,0.013,0.021,0,-0.3,5.8,25.6,-10,6.7,-60.5,55.6,0.8,-1,41.49
0.232,-0.201,9.769,0.192,-0.155,9.804,0.04,-0.046,0.005,-0.1,-0.4,4.2,25.853,-10.3,7.6,-59.8,51.4,0.9,-1.1,41.49
0.07,-0.113,9.74,0.182,-0.152,9.804,-0.111,0.039,-0.021,0,-0.4,4.6,25.937,-10.6,7.8,-59.3,54.4,0.9,-1.1,41.49
0.222,-0.141,9.797,0.191,-0.152,9.804,0.032,0.011,0.026,0,-0.4,4.6,25.6,-10.4,8.5,-58.2,51.3,0.9,-1.1,40.07
0.208,-0.196,9.802,0.195,-0.159,9.803,0.013,-0.038,0.027,-0.1,-0.3,5.1,25.6,-10.4,8.6,-57.8,47.7,0.9,-1.1,40.07
0.174,-0.158,9.769,0.199,-0.16,9.803,-0.024,0.002,-0.007,-0.1,-0.4,4.5,25.684,-10.1,9.2,-57,47.6,0.9,-1.2,40.07
0.136,-0.106,9.7,0.196,-0.156,9.803,-0.058,0.05,-0.068,0,-0.4,5.2,25.853,-10,9.1,-56.4,47.6,0.9,-1.1,39.69
0.084,-0.194,9.766,0.185,-0.165,9.804,-0.1,-0.029,0.002,-0.1,-0.3,4.5,25.853,-9.5,9.5,-55.6,44.6,1,-1.1,39.69
0.146,-0.156,9.788,0.183,-0.165,9.804,-0.037,0.009,0.021,0,-0.3,4,25.853,-9.8,9.8,-55.3,44.7,1,-1.1,39.69
0.182,-0.196,9.778,0.187,-0.171,9.803,-0.004,-0.025,0.006,-0.1,-0.4,3.9,25.853,-9.8,10,-54.2,44.7,1,-1.1,39.69
0.196,-0.163,9.84,0.191,-0.172,9.803,0.006,0.009,0.061,0,-0.4,4,25.516,-9.7,10.1,-53.5,44.7,1,-1.1,39.74
0.179,-0.165,9.726,0.206,-0.175,9.803,-0.026,0.01,-0.041,0,-0.4,4.5,25.516,-9.8,10.5,-52.2,44.5,1,-1.2,39.74
0.189,-0.203,9.736,0.207,-0.18,9.803,-0.017,-0.024,-0.028,-0.1,-0.3,4.4,25.684,-10,10.7,-51.5,41.6,1,-1.2,39.74
0.091,-0.16,9.807,0.195,-0.18,9.803,-0.103,0.019,0.037,-0.1,-0.4,2.8,25.6,-9.9,11.1,-49.7,41.8,1,-1.1,41.69
0.122,-0.16,9.778,0.19,-0.179,9.803,-0.068,0.018,0.008,-0.1,-0.4,1.1,25.432,-9.9,11.2,-49,41.8,1,-1.1,41.69
0.141,-0.146,9.757,0.193,-0.175,9.803,-0.051,0.028,-0.017,0,-0.4,-1.7,25.432,-10.3,11.8,-47.2,39.1,1,-1.1,41.69
0.151,-0.186,9.731,0.192,-0.176,9.803,-0.041,-0.011,-0.038,0,-0.4,-0.8,25.432,-10.5,12.1,-46.3,39.2,1,-1.1,41.89
0.155,-0.153,9.812,0.192,-0.172,9.803,-0.036,0.018,0.036,0,-0.4,-0.2,25.6,-10.4,12.2,-45.1,39.1,1,-1.1,41.89
0.096,-0.205,9.79,0.185,-0.176,9.803,-0.089,-0.03,0.013,-0.1,-0.3,-2.3,25.6,-10.9,12.4,-44.5,42.2,1,-1.1,41.89
0.153,-0.201,9.786,0.19,-0.179,9.803,-0.037,-0.022,0.011,0,-0.4,-5.1,25.516,-11.2,12.7,-43.4,39.8,1,-1.1,41.47
0.048,-0.194,9.736,0.18,-0.179,9.803,-0.131,-0.016,-0.035,0.1,-0.4,-5.2,25.347,-11.6,12.6,-43.2,42.6,1,-1.1,41.47
0.174,-0.16,9.788,0.193,-0.173,9.803,-0.017,0.012,0.017,0.2,-0.5,-7.6,25.6,-11.7,13,-42.1,42.4,1,-1.1,41.47
0.213,-0.134,9.733,0.201,-0.166,9.803,0.013,0.031,-0.034,0.1,-0.4,-6.2,25.6,-11.8,13,-41.7,42.2,1,-1.2,41.47
