ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
-0.023,-0.283,10.165,0.014,-0.101,9.806,-0.037,-0.181,0.28,8.5,-3.3,-1.1,8.084,-56.7,-206.6,480.8,153.3,0.9,-5.2,32.13
-0.613,1.79,10.075,0.007,-0.014,9.807,-0.62,1.804,0.182,2.1,0.9,-1.3,8.084,-58.2,-206.6,480.5,153.2,0.4,-5.4,49.48
-0.467,0.732,10.463,0.003,0.022,9.807,-0.471,0.71,0.561,-2.6,1.6,3.9,8.084,-58.7,-206.5,480.5,152.9,0.5,-5.3,49.48
-0.538,2.659,10.076,-0.024,0.046,9.807,-0.514,2.613,0.191,4.1,-1.5,-0.5,8.168,-59.7,-206.3,480.3,152.3,1.1,-5.2,49.48
-0.644,2.261,9.746,0.002,-0.027,9.807,-0.647,2.288,-0.136,6.7,-1.8,-4.1,8.168,-62.2,-206.6,479.3,151.7,1.3,-5.3,64.02
0.127,0.311,9.64,0.06,-0.115,9.806,0.066,0.426,-0.231,9.1,-0.7,-2.5,8.253,-63.8,-206.5,478.6,151.6,0.7,-5.4,64.02
-0.228,0.404,9.49,0.033,0.02,9.807,-0.261,0.384,-0.375,-8.2,7.6,2.4,8.421,-65.9,-205.1,477.2,152.1,0,-5.1,64.02
-0.31,0.879,10.481,-0.042,0.197,9.805,-0.267,0.68,0.59,-14.1,7.1,16.1,8.337,-66.4,-204.5,476.5,151.8,0.9,-4.8,64.02
-0.308,1.529,10.148,0.055,0.184,9.805,-0.364,1.343,0.252,-3.3,15.1,8.7,8.337,-67.9,-203.5,474.6,151.4,2.8,-3.7,69.67
-0.18,0.256,8.496,0.134,0.021,9.806,-0.315,0.235,-1.384,3,6.7,5.8,8.842,-68.2,-202.6,474,153.4,2.8,-2.6,69.67
-0.471,-0.081,7.891,0.016,-0.042,9.807,-0.487,-0.039,-1.958,5.1,-5.7,-11.7,8.842,-68.3,-201.7,474.2,155.4,2.3,-1.9,69.67
2.581,-5.791,8.026,0.003,-0.188,9.805,2.138,-4.068,1.324,10.3,-6.7,-24.4,8.842,-68.6,-201.9,474.2,155.2,1.3,-2.3,70.6
2.176,-6.487,10.424,0.025,-0.248,9.803,2.151,-6.238,0.573,13.2,-4.3,-20.3,8.842,-69.2,-202.8,474.2,155.7,-1.3,-3.3,70.6
0.194,0.073,10.318,0.003,-0.017,9.807,0.191,0.09,0.455,-11,2.7,7.3,9.095,-69.5,-203.1,474.7,155.7,-1.4,-3.4,70.6
0.09,-0.148,10.685,0.001,0.079,9.806,0.088,-0.228,0.789,-0.2,-0.5,-0.2,8.842,-69.5,-203.8,475,155.8,-0.2,-2.9,61.25
0.072,-0.063,10.094,-0.002,-0.001,9.807,0.074,-0.063,0.194,-0.1,0.1,0,8.842,-69.5,-204.1,474.6,155.5,-0.2,-2.9,61.25
0.017,0.049,9.746,-0.001,0.001,9.807,0.017,0.048,-0.15,0,0,0,9.095,-69.6,-204.3,474.4,155.5,-0.2,-2.9,61.25
-0.018,0.048,9.764,-0.001,0.001,9.807,-0.017,0.047,-0.13,0,0,0.1,9.095,-69.7,-204.2,474.1,155.5,-0.2,-2.9,33.66
-0.043,0.035,9.797,-0.002,0,9.807,-0.041,0.034,-0.094,0,-0.1,0,9.095,-69.7,-204.1,473.8,155.5,-0.2,-2.9,33.66
-0.056,0.038,9.847,-0.007,0.004,9.807,-0.049,0.034,-0.039,-0.1,0,0,9.095,-69.8,-204.1,473.8,155.4,-0.1,-2.9,33.66
-0.041,0.025,9.759,-0.004,0.003,9.807,-0.037,0.022,-0.096,-0.1,0,0,8.842,-70.1,-204.1,473.3,155.3,-0.1,-2.9,33.66
