ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
-1.13,-0.22,9.586,-1.22,-0.315,9.725,0.076,0.092,-0.03,-4.4,-9.1,16.7,18.526,26.3,-15.6,-32.5,231.9,1.8,7.2,48.64
-0.878,-0.422,9.757,-1.005,-0.388,9.747,0.116,-0.038,0.112,-3.9,-6.2,15.6,18.189,26,-16.3,-31.9,232.5,2.3,5.9,39.48
-0.847,-0.474,9.709,-0.927,-0.428,9.753,0.071,-0.051,0.053,-5.4,-7,16.7,18.021,26,-16.7,-31.7,231,2.5,5.4,39.48
-0.866,-0.451,9.697,-0.913,-0.454,9.754,0.039,0,0.025,-1.1,1.8,16.7,18.021,25.7,-17.3,-30.5,231.3,2.7,5.3,39.48
-1.056,-0.384,9.778,-0.949,-0.444,9.751,-0.114,0.057,0.096,-1.5,0.8,14.7,17.516,25.8,-17.6,-29.7,229.7,2.6,5.6,38.28
-1.144,-0.422,9.662,-0.976,-0.444,9.748,-0.176,0.018,-0.011,-0.5,0.3,16.2,17.432,25,-17.9,-26.6,229,2.6,5.7,38.28
-1.032,-0.36,9.75,-0.961,-0.427,9.75,-0.078,0.064,0.066,-0.8,-5.7,11.2,17.263,24.4,-17.9,-25,228.2,2.5,5.6,38.28
-0.978,-0.205,9.448,-0.891,-0.359,9.759,-0.092,0.151,-0.246,0.4,-3,5.1,17.263,22.6,-18.2,-20.6,228.1,2.1,5.2,39.81
-0.749,-0.486,9.555,-0.836,-0.378,9.764,0.08,-0.111,-0.127,-2.4,-5.6,8.2,18.021,21.7,-18.3,-18.7,227.2,2.2,4.9,39.81
-0.582,-0.558,9.74,-0.657,-0.47,9.773,0.07,-0.092,0.037,-7,-10.3,14,18.021,20,-18.4,-15.2,225.3,2.7,3.8,39.81
-0.497,-0.632,9.652,-0.586,-0.517,9.775,0.085,-0.118,-0.047,-0.3,-1.4,11.2,18.021,19.6,-18.3,-13.6,225.5,3,3.4,41.22
-0.532,-0.553,9.745,-0.526,-0.544,9.777,-0.01,-0.012,0.03,-1.9,-4.2,14.2,18.021,19.3,-18.1,-11.4,224.6,3.2,3.1,41.22
-0.321,-0.582,9.885,-0.473,-0.563,9.779,0.15,-0.021,0.151,-2.4,-3,12.5,18.021,19.4,-18.1,-10.6,224.7,3.3,2.8,41.22
-0.297,-0.672,9.719,-0.419,-0.649,9.776,0.12,-0.025,-0.026,-5.8,-2.7,10.8,18.105,19.9,-17.5,-8.6,226.5,3.8,2.5,41.22
-0.435,-0.639,9.843,-0.411,-0.69,9.774,-0.025,0.05,0.09,-3.7,-0.6,13.2,18.105,20.3,-17.1,-7.6,228.2,4,2.4,40.61
-0.44,-0.824,9.728,-0.376,-0.78,9.768,-0.065,-0.046,-0.02,-4.9,-4,13.1,17.516,20.8,-16.4,-5.3,231.7,4.6,2.2,40.61
-0.471,-0.77,9.607,-0.36,-0.823,9.765,-0.112,0.051,-0.123,-4.4,-3.3,12,17.095,21.4,-16.2,-3.8,231.9,4.8,2.1,40.61
-0.387,-0.901,9.631,-0.286,-0.906,9.761,-0.103,0,-0.07,-2.5,-4.4,5,16.758,22.3,-15.5,-1.3,235.5,5.3,1.7,41.56
0.063,-0.924,9.183,-0.2,-0.934,9.76,0.261,-0.001,-0.46,-1.7,-5.9,4.8,16.758,22.8,-15.4,-0.2,236.9,5.5,1.2,41.56
0.008,-1.046,9.645,-0.092,-0.977,9.757,0.099,-0.08,0.001,-1.1,-3.5,6.1,16.758,23.6,-15.1,1.3,238.3,5.7,0.5,41.56
0.048,-1.041,9.85,-0.053,-0.989,9.756,0.101,-0.061,0.183,-0.2,-2.4,6.3,17.095,24.1,-15.1,1.7,238.5,5.8,0.3,40.61
