ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.186,-0.122,9.707,0.211,-0.074,9.804,0.021,0.001,-0.011,0.1,0,-0.1,6.653,11.6,193.7,-472.2,353.4,0.4,-1.2,37.98
0.21,-0.084,9.743,0.208,-0.079,9.804,0.003,-0.006,-0.011,0,0,0,6.484,11.2,193.9,-472.1,353.7,0.5,-1.2,37.98
0.222,-0.094,9.745,0.207,-0.079,9.804,-0.003,-0.008,-0.026,0,0,-0.1,6.484,11.2,194,-472.2,353.7,0.5,-1.2,37.98
0.203,-0.063,9.709,0.207,-0.078,9.804,-0.003,0.014,-0.036,0.1,0.1,-0.1,6.568,11.2,194,-472.4,353.7,0.5,-1.2,38.62
0.267,-0.098,9.757,0.213,-0.079,9.804,0.056,-0.02,0.011,0.1,0.1,-0.1,6.737,11.2,193.8,-472.3,353.6,0.5,-1.2,38.62
0.217,-0.075,9.745,0.215,-0.075,9.804,0.004,0,-0.001,0,0,-0.1,6.737,11.2,193.7,-472.3,353.6,0.4,-1.3,38.62
0.22,-0.039,9.726,0.215,-0.071,9.804,0.006,0.031,-0.018,0,0,0,6.484,11.1,193.7,-472.4,353.6,0.4,-1.3,38.42
0.251,-0.106,9.797,0.217,-0.078,9.804,0.035,-0.028,0.047,0,0,0,6.653,11.1,193.7,-472.3,353.6,0.5,-1.3,38.42
0.227,-0.067,9.728,0.218,-0.076,9.804,0.01,0.008,-0.02,0,0,0,6.4,11.2,193.7,-472.3,353.6,0.4,-1.3,38.42
0.191,-0.067,9.74,0.215,-0.072,9.804,-0.022,0.004,-0.007,0,0,-0.1,6.4,10.9,193.9,-472.3,353.6,0.4,-1.3,38.42
0.232,-0.067,9.807,0.216,-0.071,9.804,0.016,0.004,0.053,0,0,-0.1,6.568,11.2,193.9,-472.4,353.6,0.4,-1.3,38.2
0.246,-0.106,9.712,0.22,-0.075,9.804,0.027,-0.031,-0.04,0.1,0,-0.1,6.568,11.3,194,-472.1,353.5,0.4,-1.3,38.2
0.224,-0.07,9.769,0.22,-0.074,9.804,0.005,0.004,0.015,0,0,-0.1,6.653,11.5,194,-472.3,353.2,0.4,-1.3,38.2
0.227,-0.089,9.752,0.22,-0.078,9.804,0.008,-0.011,-0.002,0,0,0,6.653,11.6,194,-472.2,353.2,0.5,-1.3,37.9
0.21,-0.106,9.79,0.218,-0.081,9.804,-0.007,-0.025,0.032,0,0,0,6.484,11.6,193.9,-472.3,353.3,0.5,-1.3,37.9
0.227,-0.079,9.776,0.22,-0.079,9.804,0.008,-0.001,0.018,0,0,0,6.568,11.6,193.8,-472.3,353.2,0.5,-1.3,37.9
0.234,-0.072,9.75,0.221,-0.078,9.804,0.014,0.006,-0.007,0,0,-0.1,6.568,11.6,194,-472.4,353.2,0.5,-1.3,38.38
0.201,-0.11,9.766,0.215,-0.081,9.804,-0.014,-0.029,0.01,0,0,0,6.737,11.3,194.3,-472.2,353.6,0.5,-1.3,38.38
0.251,-0.103,9.759,0.219,-0.084,9.804,0.032,-0.02,0.003,0,0,0,6.4,11.5,194.3,-472.1,353.2,0.5,-1.3,38.38
0.203,-0.056,9.755,0.214,-0.08,9.804,-0.01,0.024,-0.003,0,0.1,-0.1,6.4,11.3,194.3,-472.3,353.6,0.5,-1.3,37.43
0.241,-0.103,9.788,0.217,-0.082,9.804,0.025,-0.022,0.027,0,0,-0.1,6.4,11.2,194.3,-472.2,353.6,0.5,-1.3,37.43
0.194,-0.086,9.728,0.215,-0.08,9.804,-0.02,-0.007,-0.024,0,0.1,-0.1,6.653,11.2,193.9,-471.9,353.6,0.5,-1.3,37.43
0.184,-0.075,9.705,0.211,-0.079,9.804,-0.026,0.004,-0.042,0,0,0,6.484,11.2,193.9,-471.9,353.7,0.5,-1.2,37.43
0.227,-0.108,9.736,0.214,-0.081,9.804,0.014,-0.027,-0.012,0,0,0,6.568,11.2,193.6,-472,353.6,0.5,-1.2,38.53
0.217,-0.067,9.75,0.214,-0.079,9.804,0.005,0.011,0.002,0,0,0,6.568,11.3,193.4,-472,353.6,0.5,-1.2,38.53
0.198,-0.094,9.764,0.213,-0.08,9.804,-0.014,-0.014,0.015,0,0,-0.1,6.653,11.5,193.4,-472.1,353.6,0.5,-1.2,38.53
0.241,-0.072,9.747,0.216,-0.08,9.804,0.026,0.007,-0.002,0,0,0,6.484,11.4,193.4,-472.2,353.5,0.5,-1.3,38.09
0.203,-0.072,9.688,0.212,-0.081,9.804,-0.008,0.008,-0.053,0,0,-0.1,6.484,11.5,193.8,-472.3,353.6,0.5,-1.2,38.09
0.205,-0.091,9.795,0.211,-0.081,9.804,-0.004,-0.01,0.048,0,0.1,0,6.737,11.5,193.8,-472.4,353.4,0.5,-1.2,38.09
0.215,-0.103,9.819,0.211,-0.08,9.804,0.005,-0.023,0.064,0,0,0,6.653,11.6,194.3,-472.2,353.4,0.5,-1.2,38.51
0.217,-0.008,9.745,0.211,-0.072,9.804,0.007,0.064,-0.009,0,0,0,6.653,11.7,194.3,-472.2,353.4,0.4,-1.2,38.51
0.21,-0.096,9.75,0.212,-0.076,9.804,0,-0.02,-0.003,0,0,-0.1,6.653,11.7,193.8,-472,353.4,0.4,-1.2,38.51
0.182,-0.06,9.719,0.208,-0.074,9.804,-0.025,0.014,-0.03,0,0,-0.1,6.653,11.7,193.7,-472.1,353.4,0.4,-1.2,39.24
0.198,-0.082,9.816,0.208,-0.076,9.804,0.01,-0.009,-0.014,0,0.1,-0.1,6.653,11.7,193.6,-472,353.4,0.4,-1.2,39.24
0.215,-0.063,9.686,0.207,-0.074,9.804,0.009,0.011,-0.062,0,0,0,6.568,11.7,193.6,-472.3,353.4,0.4,-1.2,39.24
0.22,-0.115,9.762,0.209,-0.076,9.804,0.019,-0.022,-0.017,0,0.1,-0.1,6.568,11.6,193.5,-472.1,353.4,0.4,-1.2,39.24
0.253,-0.06,9.747,0.214,-0.078,9.804,0.04,0.017,0,0,0,-0.1,6.737,11.6,193.7,-472,353.3,0.5,-1.3,39.84
0.179,-0.098,9.759,0.21,-0.08,9.804,-0.03,-0.018,0.012,0,0.1,-0.1,6.484,11.8,194.1,-471.8,353.4,0.5,-1.2,39.84
0.217,-0.072,9.716,0.21,-0.079,9.804,0.008,0.007,-0.028,0,0,0,6.484,11.8,194,-472,353.4,0.5,-1.2,39.84
0.227,-0.113,9.795,0.213,-0.086,9.804,0.015,-0.027,0.045,0,0.1,-0.1,6.568,11.7,193.9,-472,353.3,0.5,-1.2,40.93
0.203,-0.072,9.752,0.211,-0.084,9.804,-0.007,0.011,0.002,0,0,0,6.484,11.5,193.9,-472,353.3,0.5,-1.2,40.93
0.248,-0.077,9.752,0.213,-0.082,9.804,0.037,0.004,0.001,0,0,0,6.653,11.5,193.9,-472.2,353.4,0.5,-1.2,40.93
0.198,-0.096,9.797,0.21,-0.083,9.804,-0.011,-0.013,0.041,0,0.1,0,6.653,11.2,193.7,-472.1,353.7,0.5,-1.2,40.7
0.22,-0.089,9.733,0.208,-0.085,9.804,0.013,-0.004,-0.023,0,0,-0.1,6.568,11.2,193.6,-472.1,353.7,0.5,-1.2,40.7
0.22,-0.103,9.724,0.209,-0.087,9.804,0.012,-0.017,-0.029,0,0,-0.1,6.653,11.2,194.1,-471.9,353.7,0.5,-1.2,40.7
0.229,-0.06,9.745,0.214,-0.084,9.804,0.017,0.023,-0.008,0,0,0,6.653,11.2,194,-472,353.6,0.5,-1.2,42.59
0.263,-0.113,9.752,0.219,-0.087,9.804,0.045,-0.027,-0.001,0.1,0,-0.1,6.737,11,193.6,-472.1,353.5,0.5,-1.3,42.59
0.217,-0.079,9.712,0.219,-0.086,9.804,0,0.006,-0.037,0,0,-0.1,6.653,11,193.9,-471.9,353.5,0.5,-1.3,42.59
0.229,-0.084,9.807,0.219,-0.089,9.804,0.011,0.004,0.045,0,0.1,0,6.568,11.2,193.9,-472.1,353.5,0.5,-1.3,42.59
0.203,-0.063,9.771,0.217,-0.086,9.804,-0.013,0.023,0.008,0,0,-0.1,6.568,11.1,193.7,-472.1,353.6,0.5,-1.3,39.22
0.158,-0.091,9.752,0.207,-0.084,9.804,-0.049,-0.007,-0.011,0,0,-0.1,6.4,11.3,193.9,-472.3,353.7,0.5,-1.2,39.22
0.224,-0.084,9.745,0.209,-0.084,9.804,0.016,0,-0.016,0,0.1,-0.1,6.4,11.6,193.9,-472.4,353.4,0.5,-1.2,39.22
0.227,-0.094,9.769,0.211,-0.084,9.804,0.017,-0.01,0.004,0,0,-0.1,6.232,11.5,193.6,-472.4,353.7,0.5,-1.2,38.51
0.227,-0.094,9.769,0.211,-0.084,9.804,0.017,-0.01,0.004,0,0,-0.1,6.232,11.5,193.6,-472.4,353.7,0.5,-1.2,38.51
0.196,-0.077,9.766,0.206,-0.082,9.804,-0.009,0.005,0.003,0.1,0.1,0,6.232,11.3,193.6,-472.6,353.7,0.5,-1.2,38.51
0.222,-0.063,9.819,0.207,-0.08,9.804,0.016,0.017,0.049,0,0,-0.1,6.568,11.2,193.3,-472.5,353.7,0.5,-1.2,37.8
0.229,-0.082,9.819,0.209,-0.081,9.804,0.021,-0.001,0.043,0,0.1,0,6.568,11,193.2,-472.1,353.6,0.5,-1.2,37.8
0.232,-0.07,9.74,0.211,-0.08,9.804,0.021,0.009,-0.032,0,0,0,6.484,11.2,193.3,-472.1,353.6,0.5,-1.2,37.8
0.224,-0.058,9.709,0.212,-0.081,9.804,0.014,0.022,-0.06,0,0.1,-0.1,6.568,11.2,193.7,-472.2,353.6,0.5,-1.2,38.4
0.222,-0.117,9.807,0.212,-0.084,9.804,0.011,-0.033,0.034,0,0.1,-0.1,6.484,11.4,193.7,-472,353.6,0.5,-1.2,38.4
0.239,-0.125,9.733,0.215,-0.088,9.804,0.024,-0.037,-0.038,0,0.1,-0.1,6.484,11.5,193.9,-472.3,353.6,0.5,-1.3,38.4
0.236,-0.079,9.755,0.217,-0.087,9.804,0.02,0.007,-0.015,0,0,0,6.232,11.6,194,-472.2,353.3,0.5,-1.3,38.4
0.234,-0.077,9.797,0.219,-0.084,9.804,0.016,0.007,0.03,0.1,0,-0.1,6.484,11.6,193.9,-472.3,353.2,0.5,-1.3,39.79
0.215,-0.063,9.762,0.218,-0.081,9.804,-0.002,0.018,-0.005,0,0,-0.1,6.653,11.6,193.7,-472.5,353.2,0.5,-1.3,39.79
0.179,-0.077,9.731,0.212,-0.08,9.804,-0.032,0.002,-0.029,0,0,-0.1,6.653,11.6,194,-472.3,353.3,0.5,-1.2,39.79
0.215,-0.072,9.797,0.212,-0.079,9.804,0.003,0.006,0.033,0,0,-0.1,6.737,11.5,193.9,-472.2,353.3,0.5,-1.2,38.29
0.208,-0.07,9.762,0.21,-0.078,9.804,-0.001,0.008,0,0,0.1,0,6.653,11.6,194.3,-472.1,353.4,0.5,-1.2,38.29
0.217,-0.07,9.781,0.21,-0.077,9.804,0.008,0.007,0.017,0.1,0,-0.1,6.653,11.8,194.3,-472.1,353.4,0.4,-1.2,38.29
0.227,-0.084,9.795,0.215,-0.079,9.804,0.012,-0.006,0.024,0,0,-0.1,6.568,11.8,194.4,-472,353.3,0.5,-1.3,38.29
0.196,-0.096,9.762,0.213,-0.081,9.804,-0.016,-0.016,-0.008,0,0,0,6.737,11.9,194.2,-472.1,353.3,0.5,-1.2,39.13
0.205,-0.091,9.759,0.212,-0.085,9.804,-0.006,-0.007,-0.005,0,0,0,6.4,11.9,194.2,-472.2,353.3,0.5,-1.2,39.13
0.229,-0.096,9.807,0.214,-0.086,9.804,0.016,-0.01,0.038,0,0,-0.1,6.4,11.7,194,-472.1,353.3,0.5,-1.2,39.13
0.239,-0.106,9.764,0.212,-0.084,9.804,0.028,-0.022,-0.004,0,0,0,6.4,11.6,193.7,-472.1,353.4,0.5,-1.2,38.39
0.229,-0.07,9.726,0.214,-0.082,9.804,0.016,0.012,-0.038,0,0,-0.1,6.484,11.6,193.6,-472.1,353.3,0.5,-1.2,38.39
0.208,-0.089,9.8,0.211,-0.082,9.804,-0.003,-0.007,0.03,0,0,-0.1,6.568,11.6,193.4,-472,353.3,0.5,-1.2,38.39
0.248,-0.077,9.769,0.215,-0.082,9.804,0.034,0.005,0,0,0,-0.1,6.568,11.5,193.4,-471.8,353.3,0.5,-1.3,39.53
0.244,-0.079,9.75,0.218,-0.081,9.804,0.027,0.001,-0.009,0,0.1,0,6.568,11.6,193.4,-471.8,353.2,0.5,-1.3,39.53
0.198,-0.096,9.759,0.215,-0.083,9.804,-0.016,-0.014,0,0,0.1,-0.1,6.653,11.6,193.5,-471.9,353.3,0.5,-1.3,39.53
0.224,-0.077,9.695,0.217,-0.082,9.804,0.009,0.005,-0.059,0.1,0,0,6.484,11.4,193.8,-472,353.6,0.5,-1.3,39.53
0.21,-0.103,9.805,0.215,-0.084,9.804,-0.004,-0.02,0.045,0,0.1,-0.1,6.484,11.8,193.8,-472.1,353.3,0.5,-1.3,38.06
0.241,-0.101,9.755,0.217,-0.083,9.804,0.026,-0.018,-0.003,0.1,0.1,-0.1,6.905,11.8,193.9,-472.1,353.3,0.5,-1.3,38.06
